Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,29,68,3,0.29,0.68,0.03
1000,37,62,1,0.37,0.62,0.01
2000,30,67,3,0.3,0.67,0.03
3000,33,65,2,0.33,0.65,0.02
4000,27,69,4,0.27,0.69,0.04
5000,38,57,5,0.38,0.57,0.05
6000,42,54,4,0.42,0.54,0.04
7000,33,60,7,0.33,0.6,0.07
8000,33,64,3,0.33,0.64,0.03
9000,38,57,5,0.38,0.57,0.05
10000,38,53,9,0.38,0.53,0.09
11000,40,57,3,0.4,0.57,0.03
12000,31,66,3,0.31,0.66,0.03
13000,45,52,3,0.45,0.52,0.03
14000,36,63,1,0.36,0.63,0.01
15000,28,71,1,0.28,0.71,0.01
16000,35,65,0,0.35,0.65,0.0
17000,46,51,3,0.46,0.51,0.03
18000,36,63,1,0.36,0.63,0.01
19000,26,68,6,0.26,0.68,0.06
20000,44,54,2,0.44,0.54,0.02
21000,42,52,6,0.42,0.52,0.06
22000,31,64,5,0.31,0.64,0.05
23000,40,56,4,0.4,0.56,0.04
24000,26,70,4,0.26,0.7,0.04
25000,26,73,1,0.26,0.73,0.01
26000,44,48,8,0.44,0.48,0.08
27000,31,65,4,0.31,0.65,0.04
28000,34,62,4,0.34,0.62,0.04
29000,28,70,2,0.28,0.7,0.02
30000,39,59,2,0.39,0.59,0.02
31000,28,68,4,0.28,0.68,0.04
32000,25,70,5,0.25,0.7,0.05
33000,24,71,5,0.24,0.71,0.05
34000,46,49,5,0.46,0.49,0.05
35000,18,79,3,0.18,0.79,0.03
36000,27,70,3,0.27,0.7,0.03
37000,30,68,2,0.3,0.68,0.02
38000,27,70,3,0.27,0.7,0.03
39000,29,69,2,0.29,0.69,0.02
40000,41,56,3,0.41,0.56,0.03
41000,37,60,3,0.37,0.6,0.03
42000,28,67,5,0.28,0.67,0.05
43000,35,61,4,0.35,0.61,0.04
44000,37,60,3,0.37,0.6,0.03
45000,43,50,7,0.43,0.5,0.07
46000,35,61,4,0.35,0.61,0.04
47000,41,51,8,0.41,0.51,0.08
48000,43,51,6,0.43,0.51,0.06
49000,32,63,5,0.32,0.63,0.05
50000,34,64,2,0.34,0.64,0.02
