Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
15000,48,48,4,0.48,0.48,0.04
15100,41,58,1,0.41,0.58,0.01
15200,51,47,2,0.51,0.47,0.02
15300,39,58,3,0.39,0.58,0.03
15400,32,66,2,0.32,0.66,0.02
15500,49,50,1,0.49,0.5,0.01
15600,33,64,3,0.33,0.64,0.03
15700,27,70,3,0.27,0.7,0.03
15800,37,60,3,0.37,0.6,0.03
15900,28,69,3,0.28,0.69,0.03
16000,37,63,0,0.37,0.63,0.0
16100,39,57,4,0.39,0.57,0.04
16200,45,53,2,0.45,0.53,0.02
16300,33,60,7,0.33,0.6,0.07
16400,35,61,4,0.35,0.61,0.04
16500,34,65,1,0.34,0.65,0.01
16600,40,58,2,0.4,0.58,0.02
16700,38,59,3,0.38,0.59,0.03
16800,41,54,5,0.41,0.54,0.05
16900,41,53,6,0.41,0.53,0.06
17000,49,47,4,0.49,0.47,0.04
17100,36,62,2,0.36,0.62,0.02
17200,34,61,5,0.34,0.61,0.05
17300,33,61,6,0.33,0.61,0.06
17400,33,65,2,0.33,0.65,0.02
17500,32,64,4,0.32,0.64,0.04
17600,24,74,2,0.24,0.74,0.02
17700,26,70,4,0.26,0.7,0.04
17800,35,60,5,0.35,0.6,0.05
17900,30,64,6,0.3,0.64,0.06
18000,27,66,7,0.27,0.66,0.07
18100,38,57,5,0.38,0.57,0.05
18200,25,71,4,0.25,0.71,0.04
18300,33,64,3,0.33,0.64,0.03
18400,24,70,6,0.24,0.7,0.06
18500,32,65,3,0.32,0.65,0.03
18600,30,65,5,0.3,0.65,0.05
18700,37,55,8,0.37,0.55,0.08
18800,41,51,8,0.41,0.51,0.08
18900,22,74,4,0.22,0.74,0.04
19000,48,48,4,0.48,0.48,0.04
19100,46,49,5,0.46,0.49,0.05
19200,32,62,6,0.32,0.62,0.06
19300,19,80,1,0.19,0.8,0.01
19400,46,51,3,0.46,0.51,0.03
19500,32,66,2,0.32,0.66,0.02
19600,32,64,4,0.32,0.64,0.04
19700,40,55,5,0.4,0.55,0.05
19800,36,60,4,0.36,0.6,0.04
19900,44,51,5,0.44,0.51,0.05
20000,26,71,3,0.26,0.71,0.03
20100,25,72,3,0.25,0.72,0.03
20200,29,67,4,0.29,0.67,0.04
20300,34,58,8,0.34,0.58,0.08
20400,43,53,4,0.43,0.53,0.04
20500,44,53,3,0.44,0.53,0.03
20600,47,47,6,0.47,0.47,0.06
20700,39,56,5,0.39,0.56,0.05
20800,37,57,6,0.37,0.57,0.06
20900,43,50,7,0.43,0.5,0.07
21000,29,64,7,0.29,0.64,0.07
21100,48,49,3,0.48,0.49,0.03
21200,36,59,5,0.36,0.59,0.05
21300,40,57,3,0.4,0.57,0.03
21400,52,46,2,0.52,0.46,0.02
21500,54,43,3,0.54,0.43,0.03
21600,33,66,1,0.33,0.66,0.01
21700,51,45,4,0.51,0.45,0.04
21800,50,42,8,0.5,0.42,0.08
21900,53,43,4,0.53,0.43,0.04
22000,28,67,5,0.28,0.67,0.05
22100,47,50,3,0.47,0.5,0.03
22200,34,63,3,0.34,0.63,0.03
22300,33,64,3,0.33,0.64,0.03
22400,27,69,4,0.27,0.69,0.04
22500,38,59,3,0.38,0.59,0.03
22600,27,69,4,0.27,0.69,0.04
22700,33,63,4,0.33,0.63,0.04
22800,39,56,5,0.39,0.56,0.05
