Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,38,59,3,0.38,0.59,0.03
100,25,72,3,0.25,0.72,0.03
200,33,66,1,0.33,0.66,0.01
300,50,44,6,0.5,0.44,0.06
400,33,63,4,0.33,0.63,0.04
500,50,43,7,0.5,0.43,0.07
600,48,48,4,0.48,0.48,0.04
700,29,67,4,0.29,0.67,0.04
800,37,60,3,0.37,0.6,0.03
900,34,63,3,0.34,0.63,0.03
1000,33,62,5,0.33,0.62,0.05
1100,40,59,1,0.4,0.59,0.01
1200,31,64,5,0.31,0.64,0.05
1300,17,81,2,0.17,0.81,0.02
1400,23,75,2,0.23,0.75,0.02
1500,27,72,1,0.27,0.72,0.01
1600,34,64,2,0.34,0.64,0.02
1700,30,69,1,0.3,0.69,0.01
1800,33,64,3,0.33,0.64,0.03
1900,29,69,2,0.29,0.69,0.02
2000,32,67,1,0.32,0.67,0.01
2100,23,75,2,0.23,0.75,0.02
2200,25,74,1,0.25,0.74,0.01
2300,26,70,4,0.26,0.7,0.04
2400,34,64,2,0.34,0.64,0.02
2500,35,58,7,0.35,0.58,0.07
2600,32,63,5,0.32,0.63,0.05
2700,47,43,10,0.47,0.43,0.1
2800,48,47,5,0.48,0.47,0.05
2900,38,57,5,0.38,0.57,0.05
3000,36,63,1,0.36,0.63,0.01
3100,43,53,4,0.43,0.53,0.04
3200,40,53,7,0.4,0.53,0.07
3300,50,46,4,0.5,0.46,0.04
3400,41,56,3,0.41,0.56,0.03
3500,50,47,3,0.5,0.47,0.03
3600,47,52,1,0.47,0.52,0.01
3700,37,60,3,0.37,0.6,0.03
3800,46,49,5,0.46,0.49,0.05
3900,37,61,2,0.37,0.61,0.02
4000,33,65,2,0.33,0.65,0.02
4100,39,59,2,0.39,0.59,0.02
4200,34,65,1,0.34,0.65,0.01
4300,35,63,2,0.35,0.63,0.02
4400,46,52,2,0.46,0.52,0.02
4500,34,60,6,0.34,0.6,0.06
4600,28,68,4,0.28,0.68,0.04
4700,36,59,5,0.36,0.59,0.05
4800,44,53,3,0.44,0.53,0.03
4900,50,47,3,0.5,0.47,0.03
5000,41,53,6,0.41,0.53,0.06
5100,31,63,6,0.31,0.63,0.06
5200,38,57,5,0.38,0.57,0.05
5300,43,53,4,0.43,0.53,0.04
5400,51,42,7,0.51,0.42,0.07
5500,40,55,5,0.4,0.55,0.05
5600,47,51,2,0.47,0.51,0.02
