Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,19,79,2,0.19,0.79,0.02
0,35,63,2,0.35,0.63,0.02
1000,31,64,5,0.31,0.64,0.05
2000,43,51,6,0.43,0.51,0.06
3000,35,62,3,0.35,0.62,0.03
4000,38,61,1,0.38,0.61,0.01
5000,42,52,6,0.42,0.52,0.06
6000,50,49,1,0.5,0.49,0.01
7000,32,62,6,0.32,0.62,0.06
8000,33,62,5,0.33,0.62,0.05
9000,31,64,5,0.31,0.64,0.05
10000,39,59,2,0.39,0.59,0.02
11000,23,74,3,0.23,0.74,0.03
12000,37,59,4,0.37,0.59,0.04
13000,24,73,3,0.24,0.73,0.03
14000,32,64,4,0.32,0.64,0.04
15000,32,65,3,0.32,0.65,0.03
16000,35,59,6,0.35,0.59,0.06
17000,34,61,5,0.34,0.61,0.05
18000,32,63,5,0.32,0.63,0.05
19000,21,79,0,0.21,0.79,0.0
20000,32,63,5,0.32,0.63,0.05
21000,23,77,0,0.23,0.77,0.0
22000,29,69,2,0.29,0.69,0.02
23000,24,72,4,0.24,0.72,0.04
24000,30,69,1,0.3,0.69,0.01
25000,34,63,3,0.34,0.63,0.03
26000,26,70,4,0.26,0.7,0.04
27000,33,56,11,0.33,0.56,0.11
28000,34,61,5,0.34,0.61,0.05
29000,45,50,5,0.45,0.5,0.05
30000,41,58,1,0.41,0.58,0.01
31000,33,63,4,0.33,0.63,0.04
32000,21,77,2,0.21,0.77,0.02
33000,42,55,3,0.42,0.55,0.03
34000,28,70,2,0.28,0.7,0.02
35000,35,64,1,0.35,0.64,0.01
36000,30,69,1,0.3,0.69,0.01
37000,30,66,4,0.3,0.66,0.04
38000,25,70,5,0.25,0.7,0.05
39000,25,70,5,0.25,0.7,0.05
40000,37,61,2,0.37,0.61,0.02
41000,18,79,3,0.18,0.79,0.03
42000,29,64,7,0.29,0.64,0.07
43000,23,72,5,0.23,0.72,0.05
44000,38,59,3,0.38,0.59,0.03
45000,15,82,3,0.15,0.82,0.03
46000,37,57,6,0.37,0.57,0.06
47000,24,73,3,0.24,0.73,0.03
48000,17,81,2,0.17,0.81,0.02
49000,54,43,3,0.54,0.43,0.03
50000,26,70,4,0.26,0.7,0.04
51000,33,64,3,0.33,0.64,0.03
52000,21,73,6,0.21,0.73,0.06
53000,38,55,7,0.38,0.55,0.07
54000,33,64,3,0.33,0.64,0.03
55000,36,60,4,0.36,0.6,0.04
