Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
999,17,80,3,0.17,0.8,0.03
1999,12,87,1,0.12,0.87,0.01
2999,18,81,1,0.18,0.81,0.01
3999,16,83,1,0.16,0.83,0.01
4999,14,86,0,0.14,0.86,0.0
5999,17,78,5,0.17,0.78,0.05
6999,15,81,4,0.15,0.81,0.04
7999,12,85,3,0.12,0.85,0.03
8999,12,88,0,0.12,0.88,0.0
9999,11,86,3,0.11,0.86,0.03
10999,8,88,4,0.08,0.88,0.04
11999,8,92,0,0.08,0.92,0.0
12999,9,88,3,0.09,0.88,0.03
13999,13,84,3,0.13,0.84,0.03
14999,14,84,2,0.14,0.84,0.02
15999,13,86,1,0.13,0.86,0.01
16999,12,83,5,0.12,0.83,0.05
17999,16,84,0,0.16,0.84,0.0
18999,6,91,3,0.06,0.91,0.03
19999,15,84,1,0.15,0.84,0.01
20999,17,80,3,0.17,0.8,0.03
21999,19,79,2,0.19,0.79,0.02
22999,14,83,3,0.14,0.83,0.03
23999,7,90,3,0.07,0.9,0.03
24999,4,94,2,0.04,0.94,0.02
25999,17,79,4,0.17,0.79,0.04
26999,5,92,3,0.05,0.92,0.03
27999,11,84,5,0.11,0.84,0.05
28999,16,81,3,0.16,0.81,0.03
29999,19,80,1,0.19,0.8,0.01
30999,19,77,4,0.19,0.77,0.04
31999,13,84,3,0.13,0.84,0.03
32999,8,92,0,0.08,0.92,0.0
33999,10,87,3,0.1,0.87,0.03
34999,17,76,7,0.17,0.76,0.07
35999,17,80,3,0.17,0.8,0.03
36999,9,91,0,0.09,0.91,0.0
37999,10,89,1,0.1,0.89,0.01
38999,16,83,1,0.16,0.83,0.01
39999,19,78,3,0.19,0.78,0.03
40999,13,83,4,0.13,0.83,0.04
41999,13,82,5,0.13,0.82,0.05
42999,8,90,2,0.08,0.9,0.02
43999,13,85,2,0.13,0.85,0.02
44999,22,76,2,0.22,0.76,0.02
45999,3,93,4,0.03,0.93,0.04
46999,10,86,4,0.1,0.86,0.04
47999,5,95,0,0.05,0.95,0.0
48999,20,76,4,0.2,0.76,0.04
49999,8,91,1,0.08,0.91,0.01
50999,10,89,1,0.1,0.89,0.01
51999,14,86,0,0.14,0.86,0.0
52999,9,91,0,0.09,0.91,0.0
53999,10,90,0,0.1,0.9,0.0
54999,25,72,3,0.25,0.72,0.03
55999,11,87,2,0.11,0.87,0.02
56999,10,90,0,0.1,0.9,0.0
57999,11,86,3,0.11,0.86,0.03
58999,19,78,3,0.19,0.78,0.03
59999,8,90,2,0.08,0.9,0.02
60999,11,86,3,0.11,0.86,0.03
61999,15,81,4,0.15,0.81,0.04
62999,10,88,2,0.1,0.88,0.02
63999,10,88,2,0.1,0.88,0.02
64999,7,89,4,0.07,0.89,0.04
65999,13,86,1,0.13,0.86,0.01
66999,12,86,2,0.12,0.86,0.02
67999,11,87,2,0.11,0.87,0.02
68999,11,88,1,0.11,0.88,0.01
69999,10,89,1,0.1,0.89,0.01
70999,15,83,2,0.15,0.83,0.02
71999,15,81,4,0.15,0.81,0.04
72999,10,87,3,0.1,0.87,0.03
73999,10,87,3,0.1,0.87,0.03
74999,25,73,2,0.25,0.73,0.02
75999,14,85,1,0.14,0.85,0.01
76999,17,81,2,0.17,0.81,0.02
77999,5,92,3,0.05,0.92,0.03
78999,11,87,2,0.11,0.87,0.02
79999,8,91,1,0.08,0.91,0.01
80999,6,90,4,0.06,0.9,0.04
81999,15,83,2,0.15,0.83,0.02
82999,11,89,0,0.11,0.89,0.0
83999,17,78,5,0.17,0.78,0.05
84999,6,94,0,0.06,0.94,0.0
85999,16,81,3,0.16,0.81,0.03
86999,15,83,2,0.15,0.83,0.02
87999,12,82,6,0.12,0.82,0.06
88999,15,81,4,0.15,0.81,0.04
89999,10,89,1,0.1,0.89,0.01
90999,16,83,1,0.16,0.83,0.01
91999,11,86,3,0.11,0.86,0.03
92999,10,87,3,0.1,0.87,0.03
93999,7,92,1,0.07,0.92,0.01
94999,15,82,3,0.15,0.82,0.03
95999,17,79,4,0.17,0.79,0.04
96999,14,83,3,0.14,0.83,0.03
97999,9,89,2,0.09,0.89,0.02
98999,12,84,4,0.12,0.84,0.04
99999,14,83,3,0.14,0.83,0.03
100999,14,82,4,0.14,0.82,0.04
101999,14,83,3,0.14,0.83,0.03
102999,12,86,2,0.12,0.86,0.02
103999,8,90,2,0.08,0.9,0.02
104999,16,84,0,0.16,0.84,0.0
105999,10,84,6,0.1,0.84,0.06
106999,11,85,4,0.11,0.85,0.04
107999,16,76,8,0.16,0.76,0.08
108999,13,86,1,0.13,0.86,0.01
109999,13,87,0,0.13,0.87,0.0
110999,6,92,2,0.06,0.92,0.02
111999,13,86,1,0.13,0.86,0.01
112999,9,90,1,0.09,0.9,0.01
113999,16,84,0,0.16,0.84,0.0
114999,14,85,1,0.14,0.85,0.01
115999,4,93,3,0.04,0.93,0.03
116999,7,91,2,0.07,0.91,0.02
117999,19,79,2,0.19,0.79,0.02
118999,10,88,2,0.1,0.88,0.02
119999,6,92,2,0.06,0.92,0.02
