Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,46,51,3,0.46,0.51,0.03
100,53,44,3,0.53,0.44,0.03
200,50,48,2,0.5,0.48,0.02
300,49,47,4,0.49,0.47,0.04
400,45,49,6,0.45,0.49,0.06
500,48,47,5,0.48,0.47,0.05
600,50,48,2,0.5,0.48,0.02
700,51,47,2,0.51,0.47,0.02
800,49,44,7,0.49,0.44,0.07
900,44,55,1,0.44,0.55,0.01
1000,31,63,6,0.31,0.63,0.06
1100,43,54,3,0.43,0.54,0.03
1200,40,56,4,0.4,0.56,0.04
1300,41,57,2,0.41,0.57,0.02
1400,26,74,0,0.26,0.74,0.0
1500,29,69,2,0.29,0.69,0.02
1600,22,74,4,0.22,0.74,0.04
1700,32,66,2,0.32,0.66,0.02
1800,46,53,1,0.46,0.53,0.01
1900,28,66,6,0.28,0.66,0.06
2000,32,65,3,0.32,0.65,0.03
2100,26,66,8,0.26,0.66,0.08
2200,21,75,4,0.21,0.75,0.04
2300,28,71,1,0.28,0.71,0.01
2400,30,66,4,0.3,0.66,0.04
2500,36,61,3,0.36,0.61,0.03
2600,46,51,3,0.46,0.51,0.03
2700,33,63,4,0.33,0.63,0.04
2800,31,66,3,0.31,0.66,0.03
2900,33,60,7,0.33,0.6,0.07
3000,37,59,4,0.37,0.59,0.04
3100,26,67,7,0.26,0.67,0.07
3200,35,64,1,0.35,0.64,0.01
3300,32,65,3,0.32,0.65,0.03
3400,28,69,3,0.28,0.69,0.03
3500,36,59,5,0.36,0.59,0.05
3600,41,56,3,0.41,0.56,0.03
3700,29,70,1,0.29,0.7,0.01
3800,38,59,3,0.38,0.59,0.03
3900,37,60,3,0.37,0.6,0.03
4000,41,56,3,0.41,0.56,0.03
4100,30,68,2,0.3,0.68,0.02
4200,39,60,1,0.39,0.6,0.01
4300,35,61,4,0.35,0.61,0.04
4400,45,51,4,0.45,0.51,0.04
4500,35,60,5,0.35,0.6,0.05
4600,31,66,3,0.31,0.66,0.03
4700,41,54,5,0.41,0.54,0.05
4800,39,58,3,0.39,0.58,0.03
4900,36,53,11,0.36,0.53,0.11
5000,39,57,4,0.39,0.57,0.04
5100,47,51,2,0.47,0.51,0.02
5200,42,56,2,0.42,0.56,0.02
5300,42,54,4,0.42,0.54,0.04
5400,45,53,2,0.45,0.53,0.02
5500,41,56,3,0.41,0.56,0.03
5600,48,48,4,0.48,0.48,0.04
5700,33,63,4,0.33,0.63,0.04
5800,49,48,3,0.49,0.48,0.03
5900,37,59,4,0.37,0.59,0.04
6000,63,37,0,0.63,0.37,0.0
6100,60,37,3,0.6,0.37,0.03
6200,58,41,1,0.58,0.41,0.01
6300,48,49,3,0.48,0.49,0.03
6400,49,47,4,0.49,0.47,0.04
6500,54,45,1,0.54,0.45,0.01
6600,51,46,3,0.51,0.46,0.03
6700,53,43,4,0.53,0.43,0.04
6800,47,48,5,0.47,0.48,0.05
6900,55,45,0,0.55,0.45,0.0
7000,46,52,2,0.46,0.52,0.02
7100,51,45,4,0.51,0.45,0.04
7200,50,49,1,0.5,0.49,0.01
7300,52,45,3,0.52,0.45,0.03
7400,48,46,6,0.48,0.46,0.06
7500,42,54,4,0.42,0.54,0.04
7600,62,37,1,0.62,0.37,0.01
7700,57,41,2,0.57,0.41,0.02
7800,52,45,3,0.52,0.45,0.03
7900,46,49,5,0.46,0.49,0.05
8000,43,51,6,0.43,0.51,0.06
8100,47,51,2,0.47,0.51,0.02
8200,53,43,4,0.53,0.43,0.04
8300,52,44,4,0.52,0.44,0.04
8400,45,52,3,0.45,0.52,0.03
8500,53,42,5,0.53,0.42,0.05
8600,48,44,8,0.48,0.44,0.08
8700,46,51,3,0.46,0.51,0.03
8800,41,56,3,0.41,0.56,0.03
8900,47,48,5,0.47,0.48,0.05
9000,46,50,4,0.46,0.5,0.04
9100,42,55,3,0.42,0.55,0.03
9200,44,52,4,0.44,0.52,0.04
9300,43,50,7,0.43,0.5,0.07
9400,39,59,2,0.39,0.59,0.02
9500,39,59,2,0.39,0.59,0.02
9600,42,54,4,0.42,0.54,0.04
9700,38,58,4,0.38,0.58,0.04
9800,50,43,7,0.5,0.43,0.07
9900,42,55,3,0.42,0.55,0.03
10000,46,53,1,0.46,0.53,0.01
10100,52,45,3,0.52,0.45,0.03
10200,46,51,3,0.46,0.51,0.03
10300,41,56,3,0.41,0.56,0.03
10400,49,46,5,0.49,0.46,0.05
10500,47,47,6,0.47,0.47,0.06
10600,52,46,2,0.52,0.46,0.02
10700,35,58,7,0.35,0.58,0.07
10800,37,59,4,0.37,0.59,0.04
10900,56,42,2,0.56,0.42,0.02
11000,44,51,5,0.44,0.51,0.05
11100,39,55,6,0.39,0.55,0.06
11200,51,45,4,0.51,0.45,0.04
11300,45,54,1,0.45,0.54,0.01
11400,40,56,4,0.4,0.56,0.04
11500,48,45,7,0.48,0.45,0.07
11600,52,42,6,0.52,0.42,0.06
11700,41,58,1,0.41,0.58,0.01
11800,52,45,3,0.52,0.45,0.03
11900,51,45,4,0.51,0.45,0.04
12000,47,52,1,0.47,0.52,0.01
12100,57,42,1,0.57,0.42,0.01
12200,48,50,2,0.48,0.5,0.02
12300,50,44,6,0.5,0.44,0.06
12400,51,47,2,0.51,0.47,0.02
12500,44,56,0,0.44,0.56,0.0
12600,37,57,6,0.37,0.57,0.06
12700,39,59,2,0.39,0.59,0.02
12800,39,57,4,0.39,0.57,0.04
12900,52,43,5,0.52,0.43,0.05
13000,48,47,5,0.48,0.47,0.05
13100,56,40,4,0.56,0.4,0.04
13200,35,64,1,0.35,0.64,0.01
13300,42,56,2,0.42,0.56,0.02
13400,44,55,1,0.44,0.55,0.01
13500,35,61,4,0.35,0.61,0.04
13600,37,56,7,0.37,0.56,0.07
13700,42,57,1,0.42,0.57,0.01
13800,53,46,1,0.53,0.46,0.01
13900,31,64,5,0.31,0.64,0.05
14000,44,52,4,0.44,0.52,0.04
14100,41,55,4,0.41,0.55,0.04
14200,45,53,2,0.45,0.53,0.02
14300,40,58,2,0.4,0.58,0.02
14400,57,42,1,0.57,0.42,0.01
14500,48,48,4,0.48,0.48,0.04
14600,54,42,4,0.54,0.42,0.04
14700,46,50,4,0.46,0.5,0.04
14800,38,60,2,0.38,0.6,0.02
14900,43,56,1,0.43,0.56,0.01
15000,45,54,1,0.45,0.54,0.01
15100,52,42,6,0.52,0.42,0.06
15200,50,46,4,0.5,0.46,0.04
15300,38,56,6,0.38,0.56,0.06
15400,36,59,5,0.36,0.59,0.05
15500,52,43,5,0.52,0.43,0.05
15600,47,48,5,0.47,0.48,0.05
15700,52,44,4,0.52,0.44,0.04
15800,50,47,3,0.5,0.47,0.03
15900,36,59,5,0.36,0.59,0.05
16000,57,41,2,0.57,0.41,0.02
16100,60,38,2,0.6,0.38,0.02
16200,39,58,3,0.39,0.58,0.03
16300,36,59,5,0.36,0.59,0.05
16400,40,55,5,0.4,0.55,0.05
16500,40,56,4,0.4,0.56,0.04
16600,34,62,4,0.34,0.62,0.04
16700,43,56,1,0.43,0.56,0.01
16800,49,49,2,0.49,0.49,0.02
16900,51,44,5,0.51,0.44,0.05
17000,41,55,4,0.41,0.55,0.04
17100,55,42,3,0.55,0.42,0.03
17200,46,51,3,0.46,0.51,0.03
17300,55,41,4,0.55,0.41,0.04
17400,49,47,4,0.49,0.47,0.04
17500,45,51,4,0.45,0.51,0.04
17600,40,56,4,0.4,0.56,0.04
17700,48,45,7,0.48,0.45,0.07
17800,43,52,5,0.43,0.52,0.05
17900,54,43,3,0.54,0.43,0.03
18000,45,52,3,0.45,0.52,0.03
18100,49,48,3,0.49,0.48,0.03
18200,39,58,3,0.39,0.58,0.03
18300,50,48,2,0.5,0.48,0.02
18400,47,53,0,0.47,0.53,0.0
18500,50,47,3,0.5,0.47,0.03
18600,46,52,2,0.46,0.52,0.02
18700,39,59,2,0.39,0.59,0.02
18800,47,52,1,0.47,0.52,0.01
18900,41,56,3,0.41,0.56,0.03
19000,53,43,4,0.53,0.43,0.04
19100,49,48,3,0.49,0.48,0.03
19200,43,51,6,0.43,0.51,0.06
19300,45,52,3,0.45,0.52,0.03
19400,45,52,3,0.45,0.52,0.03
19500,49,50,1,0.49,0.5,0.01
19600,58,38,4,0.58,0.38,0.04
19700,38,56,6,0.38,0.56,0.06
19800,38,60,2,0.38,0.6,0.02
19900,54,39,7,0.54,0.39,0.07
20000,45,52,3,0.45,0.52,0.03
20100,48,50,2,0.48,0.5,0.02
20200,48,48,4,0.48,0.48,0.04
20300,41,57,2,0.41,0.57,0.02
20400,49,45,6,0.49,0.45,0.06
20500,52,47,1,0.52,0.47,0.01
20600,42,56,2,0.42,0.56,0.02
20700,46,51,3,0.46,0.51,0.03
20800,42,55,3,0.42,0.55,0.03
20900,44,49,7,0.44,0.49,0.07
21000,37,58,5,0.37,0.58,0.05
21100,49,51,0,0.49,0.51,0.0
21200,47,50,3,0.47,0.5,0.03
21300,48,50,2,0.48,0.5,0.02
21400,51,44,5,0.51,0.44,0.05
21500,51,47,2,0.51,0.47,0.02
21600,45,51,4,0.45,0.51,0.04
21700,52,44,4,0.52,0.44,0.04
21800,54,43,3,0.54,0.43,0.03
21900,41,55,4,0.41,0.55,0.04
22000,44,50,6,0.44,0.5,0.06
22100,45,54,1,0.45,0.54,0.01
22200,39,60,1,0.39,0.6,0.01
22300,46,51,3,0.46,0.51,0.03
22400,48,49,3,0.48,0.49,0.03
22500,46,52,2,0.46,0.52,0.02
