Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,11,88,1,0.11,0.88,0.01
100,10,88,2,0.1,0.88,0.02
200,20,74,6,0.2,0.74,0.06
300,15,82,3,0.15,0.82,0.03
400,10,88,2,0.1,0.88,0.02
500,12,86,2,0.12,0.86,0.02
600,14,82,4,0.14,0.82,0.04
700,11,82,7,0.11,0.82,0.07
800,16,80,4,0.16,0.8,0.04
900,15,83,2,0.15,0.83,0.02
1000,16,77,7,0.16,0.77,0.07
1100,12,83,5,0.12,0.83,0.05
1200,19,76,5,0.19,0.76,0.05
1300,16,82,2,0.16,0.82,0.02
1400,14,85,1,0.14,0.85,0.01
1500,16,83,1,0.16,0.83,0.01
1600,18,78,4,0.18,0.78,0.04
1700,25,71,4,0.25,0.71,0.04
1800,16,81,3,0.16,0.81,0.03
1900,16,77,7,0.16,0.77,0.07
2000,24,72,4,0.24,0.72,0.04
2100,19,78,3,0.19,0.78,0.03
2200,17,80,3,0.17,0.8,0.03
2300,23,76,1,0.23,0.76,0.01
2400,20,77,3,0.2,0.77,0.03
2500,16,79,5,0.16,0.79,0.05
2600,26,68,6,0.26,0.68,0.06
2700,21,75,4,0.21,0.75,0.04
2800,22,76,2,0.22,0.76,0.02
2900,21,76,3,0.21,0.76,0.03
3000,23,73,4,0.23,0.73,0.04
3100,22,73,5,0.22,0.73,0.05
3200,21,75,4,0.21,0.75,0.04
3300,26,72,2,0.26,0.72,0.02
3400,18,81,1,0.18,0.81,0.01
3500,23,75,2,0.23,0.75,0.02
3600,12,83,5,0.12,0.83,0.05
3700,18,80,2,0.18,0.8,0.02
3800,24,73,3,0.24,0.73,0.03
3900,15,83,2,0.15,0.83,0.02
4000,24,74,2,0.24,0.74,0.02
4100,19,78,3,0.19,0.78,0.03
4200,16,79,5,0.16,0.79,0.05
4300,21,74,5,0.21,0.74,0.05
4400,18,80,2,0.18,0.8,0.02
4500,18,81,1,0.18,0.81,0.01
4600,16,81,3,0.16,0.81,0.03
4700,26,66,8,0.26,0.66,0.08
4800,18,81,1,0.18,0.81,0.01
4900,17,80,3,0.17,0.8,0.03
5000,21,78,1,0.21,0.78,0.01
5100,17,80,3,0.17,0.8,0.03
5200,14,84,2,0.14,0.84,0.02
5300,15,82,3,0.15,0.82,0.03
5400,17,78,5,0.17,0.78,0.05
5500,21,74,5,0.21,0.74,0.05
5600,22,77,1,0.22,0.77,0.01
5700,12,86,2,0.12,0.86,0.02
5800,17,79,4,0.17,0.79,0.04
5900,17,81,2,0.17,0.81,0.02
6000,14,80,6,0.14,0.8,0.06
6100,16,83,1,0.16,0.83,0.01
6200,22,77,1,0.22,0.77,0.01
6300,12,86,2,0.12,0.86,0.02
6400,22,78,0,0.22,0.78,0.0
6500,13,85,2,0.13,0.85,0.02
6600,17,78,5,0.17,0.78,0.05
