Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
999,11,86,3,0.11,0.86,0.03
1999,9,87,4,0.09,0.87,0.04
2999,10,89,1,0.1,0.89,0.01
3999,10,90,0,0.1,0.9,0.0
4999,6,93,1,0.06,0.93,0.01
5999,19,79,2,0.19,0.79,0.02
6999,18,78,4,0.18,0.78,0.04
7999,7,89,4,0.07,0.89,0.04
8999,13,83,4,0.13,0.83,0.04
9999,15,81,4,0.15,0.81,0.04
10999,20,75,5,0.2,0.75,0.05
11999,11,87,2,0.11,0.87,0.02
12999,11,88,1,0.11,0.88,0.01
13999,10,85,5,0.1,0.85,0.05
14999,11,85,4,0.11,0.85,0.04
15999,10,89,1,0.1,0.89,0.01
16999,14,82,4,0.14,0.82,0.04
17999,17,79,4,0.17,0.79,0.04
18999,15,84,1,0.15,0.84,0.01
19999,12,84,4,0.12,0.84,0.04
