Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
999,15,78,7,0.15,0.78,0.07
1999,21,79,0,0.21,0.79,0.0
2999,17,80,3,0.17,0.8,0.03
3999,20,77,3,0.2,0.77,0.03
4999,9,90,1,0.09,0.9,0.01
5999,13,85,2,0.13,0.85,0.02
6999,15,81,4,0.15,0.81,0.04
7999,18,79,3,0.18,0.79,0.03
8999,14,80,6,0.14,0.8,0.06
9999,20,76,4,0.2,0.76,0.04
10999,18,79,3,0.18,0.79,0.03
11999,15,84,1,0.15,0.84,0.01
12999,18,81,1,0.18,0.81,0.01
13999,4,93,3,0.04,0.93,0.03
14999,13,86,1,0.13,0.86,0.01
15999,7,88,5,0.07,0.88,0.05
16999,15,83,2,0.15,0.83,0.02
17999,12,84,4,0.12,0.84,0.04
18999,15,82,3,0.15,0.82,0.03
19999,11,88,1,0.11,0.88,0.01
20999,19,76,5,0.19,0.76,0.05
21999,9,87,4,0.09,0.87,0.04
22999,16,83,1,0.16,0.83,0.01
23999,14,78,8,0.14,0.78,0.08
24999,16,78,6,0.16,0.78,0.06
25999,9,89,2,0.09,0.89,0.02
26999,20,76,4,0.2,0.76,0.04
27999,14,83,3,0.14,0.83,0.03
28999,10,88,2,0.1,0.88,0.02
29999,22,75,3,0.22,0.75,0.03
30999,11,87,2,0.11,0.87,0.02
31999,17,81,2,0.17,0.81,0.02
32999,22,74,4,0.22,0.74,0.04
33999,8,89,3,0.08,0.89,0.03
34999,18,81,1,0.18,0.81,0.01
