Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
999,15,82,3,0.15,0.82,0.03
1999,15,80,5,0.15,0.8,0.05
2999,19,81,0,0.19,0.81,0.0
3999,9,87,4,0.09,0.87,0.04
4999,17,81,2,0.17,0.81,0.02
5999,14,84,2,0.14,0.84,0.02
6999,11,87,2,0.11,0.87,0.02
7999,12,86,2,0.12,0.86,0.02
8999,6,93,1,0.06,0.93,0.01
9999,13,83,4,0.13,0.83,0.04
10999,6,90,4,0.06,0.9,0.04
11999,17,80,3,0.17,0.8,0.03
12999,7,91,2,0.07,0.91,0.02
13999,16,83,1,0.16,0.83,0.01
14999,13,85,2,0.13,0.85,0.02
15999,16,83,1,0.16,0.83,0.01
16999,20,78,2,0.2,0.78,0.02
17999,17,78,5,0.17,0.78,0.05
18999,22,78,0,0.22,0.78,0.0
19999,21,77,2,0.21,0.77,0.02
20999,15,84,1,0.15,0.84,0.01
21999,23,73,4,0.23,0.73,0.04
22999,4,92,4,0.04,0.92,0.04
23999,12,85,3,0.12,0.85,0.03
24999,5,94,1,0.05,0.94,0.01
25999,12,87,1,0.12,0.87,0.01
26999,12,86,2,0.12,0.86,0.02
27999,2,97,1,0.02,0.97,0.01
28999,5,92,3,0.05,0.92,0.03
29999,13,83,4,0.13,0.83,0.04
30999,22,72,6,0.22,0.72,0.06
31999,15,83,2,0.15,0.83,0.02
32999,13,82,5,0.13,0.82,0.05
33999,13,82,5,0.13,0.82,0.05
34999,14,84,2,0.14,0.84,0.02
35999,20,77,3,0.2,0.77,0.03
36999,11,87,2,0.11,0.87,0.02
37999,14,82,4,0.14,0.82,0.04
38999,13,84,3,0.13,0.84,0.03
39999,13,84,3,0.13,0.84,0.03
40999,8,91,1,0.08,0.91,0.01
41999,29,68,3,0.29,0.68,0.03
42999,14,81,5,0.14,0.81,0.05
43999,17,82,1,0.17,0.82,0.01
44999,13,86,1,0.13,0.86,0.01
45999,17,81,2,0.17,0.81,0.02
46999,15,82,3,0.15,0.82,0.03
47999,14,82,4,0.14,0.82,0.04
48999,11,87,2,0.11,0.87,0.02
49999,11,87,2,0.11,0.87,0.02
50999,13,83,4,0.13,0.83,0.04
51999,7,90,3,0.07,0.9,0.03
52999,18,81,1,0.18,0.81,0.01
53999,12,86,2,0.12,0.86,0.02
54999,10,86,4,0.1,0.86,0.04
55999,17,80,3,0.17,0.8,0.03
56999,9,87,4,0.09,0.87,0.04
57999,10,87,3,0.1,0.87,0.03
58999,7,90,3,0.07,0.9,0.03
59999,13,87,0,0.13,0.87,0.0
60999,8,91,1,0.08,0.91,0.01
61999,15,83,2,0.15,0.83,0.02
62999,12,87,1,0.12,0.87,0.01
63999,17,81,2,0.17,0.81,0.02
64999,8,88,4,0.08,0.88,0.04
65999,16,83,1,0.16,0.83,0.01
66999,14,82,4,0.14,0.82,0.04
67999,15,79,6,0.15,0.79,0.06
68999,12,84,4,0.12,0.84,0.04
69999,10,87,3,0.1,0.87,0.03
70999,12,82,6,0.12,0.82,0.06
71999,7,91,2,0.07,0.91,0.02
72999,10,90,0,0.1,0.9,0.0
73999,15,82,3,0.15,0.82,0.03
74999,12,84,4,0.12,0.84,0.04
75999,13,82,5,0.13,0.82,0.05
76999,21,77,2,0.21,0.77,0.02
77999,11,86,3,0.11,0.86,0.03
78999,21,76,3,0.21,0.76,0.03
79999,26,71,3,0.26,0.71,0.03
80999,18,78,4,0.18,0.78,0.04
81999,27,71,2,0.27,0.71,0.02
82999,28,68,4,0.28,0.68,0.04
83999,14,84,2,0.14,0.84,0.02
84999,8,89,3,0.08,0.89,0.03
85999,13,86,1,0.13,0.86,0.01
86999,10,90,0,0.1,0.9,0.0
87999,8,89,3,0.08,0.89,0.03
88999,12,84,4,0.12,0.84,0.04
89999,12,88,0,0.12,0.88,0.0
90999,20,76,4,0.2,0.76,0.04
91999,12,85,3,0.12,0.85,0.03
92999,17,80,3,0.17,0.8,0.03
93999,10,88,2,0.1,0.88,0.02
94999,14,82,4,0.14,0.82,0.04
95999,7,89,4,0.07,0.89,0.04
96999,12,87,1,0.12,0.87,0.01
97999,16,78,6,0.16,0.78,0.06
98999,20,75,5,0.2,0.75,0.05
99999,22,77,1,0.22,0.77,0.01
100999,25,71,4,0.25,0.71,0.04
101999,26,72,2,0.26,0.72,0.02
102999,17,79,4,0.17,0.79,0.04
103999,12,85,3,0.12,0.85,0.03
104999,10,89,1,0.1,0.89,0.01
105999,24,75,1,0.24,0.75,0.01
106999,15,80,5,0.15,0.8,0.05
107999,14,85,1,0.14,0.85,0.01
108999,18,76,6,0.18,0.76,0.06
109999,17,80,3,0.17,0.8,0.03
110999,22,77,1,0.22,0.77,0.01
111999,14,84,2,0.14,0.84,0.02
112999,22,74,4,0.22,0.74,0.04
