Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,13,81,6,0.13,0.81,0.06
100,15,82,3,0.15,0.82,0.03
200,19,78,3,0.19,0.78,0.03
300,9,89,2,0.09,0.89,0.02
400,17,81,2,0.17,0.81,0.02
500,16,84,0,0.16,0.84,0.0
600,19,79,2,0.19,0.79,0.02
700,14,82,4,0.14,0.82,0.04
800,17,81,2,0.17,0.81,0.02
900,23,76,1,0.23,0.76,0.01
1000,16,82,2,0.16,0.82,0.02
1100,13,82,5,0.13,0.82,0.05
1200,23,74,3,0.23,0.74,0.03
1300,6,89,5,0.06,0.89,0.05
1400,10,86,4,0.1,0.86,0.04
1500,8,89,3,0.08,0.89,0.03
1600,19,81,0,0.19,0.81,0.0
1700,17,80,3,0.17,0.8,0.03
1800,16,79,5,0.16,0.79,0.05
1900,16,77,7,0.16,0.77,0.07
2000,12,87,1,0.12,0.87,0.01
2100,9,86,5,0.09,0.86,0.05
2200,22,76,2,0.22,0.76,0.02
2300,22,74,4,0.22,0.74,0.04
2400,14,84,2,0.14,0.84,0.02
2500,19,76,5,0.19,0.76,0.05
2600,25,70,5,0.25,0.7,0.05
2700,24,69,7,0.24,0.69,0.07
2800,19,73,8,0.19,0.73,0.08
2900,19,78,3,0.19,0.78,0.03
3000,16,80,4,0.16,0.8,0.04
3100,17,79,4,0.17,0.79,0.04
3200,18,80,2,0.18,0.8,0.02
3300,19,79,2,0.19,0.79,0.02
3400,11,85,4,0.11,0.85,0.04
3500,13,83,4,0.13,0.83,0.04
3600,21,73,6,0.21,0.73,0.06
3700,14,84,2,0.14,0.84,0.02
3800,16,78,6,0.16,0.78,0.06
3900,18,77,5,0.18,0.77,0.05
4000,22,75,3,0.22,0.75,0.03
4100,12,85,3,0.12,0.85,0.03
4200,16,78,6,0.16,0.78,0.06
4300,18,80,2,0.18,0.8,0.02
4400,15,78,7,0.15,0.78,0.07
4500,15,76,9,0.15,0.76,0.09
4600,19,77,4,0.19,0.77,0.04
4700,17,80,3,0.17,0.8,0.03
4800,16,79,5,0.16,0.79,0.05
4900,17,79,4,0.17,0.79,0.04
5000,24,71,5,0.24,0.71,0.05
5100,17,78,5,0.17,0.78,0.05
5200,27,70,3,0.27,0.7,0.03
5300,18,80,2,0.18,0.8,0.02
5400,31,66,3,0.31,0.66,0.03
